einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
;;;;;;;021;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;;;300175;;299500;;
;;;;;;;021;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;;;99346;;98871;;
;;;;;;;322;Bundeszuschüsse im Zusammenhang mit der Bewerbung Hamburgs für die Olympischen Spiele;;;10000;;0;;
;;;;;;;219;Durchführung von Integrationskursen nach der Integrationskursverordnung;;;269077;;244077;;
;;;;;;;219;Förderung von Maßnahmen zur Integration von Zuwanderern und Spätaussiedlern;;;16987;;16987;;
;;;;;;;011;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement;;;566;;548;;
;;;;;;;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;;;4839;;4481;;
;;;;;;;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung;;;541;;351;;
;;;;;;;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;;;318;;233;;
;;;;;;;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);;;10;;0;;
;;;;;;;011;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;;;449;;213;;
;;;;;;;042;Dienstreisekosten für Flugsicherheitsbegleiter der Bundespolizei und im Zusammenhang mit der Rückführung ausreisepflichtiger Ausländer;;;8800;;6800;;
;;;;;;;042;Vermischte Verwaltungsausgaben;;;9000;;6000;;
;;;;;;;219;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement;;;13223;;9885;;
;;;;;;;219;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;;;65093;;56093;;
;;;;;;;219;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;;;10771;;7771;;
;;;;;;;219;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;;;89330;;87030;;
;;;;;;;219;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung;;;6972;;4753;;
;;;;;;;219;Verbrauchsmittel, Haltung von Fahrzeugen und dgl;;;595;;107;;
;;;;;;;219;Bewirtschaftung der Grundstücke, Gebäude und Räume;;;6537;;4337;;
;;;;;;;219;Mieten und Pachten;;;1373;;348;;
;;;;;;;219;Unterhaltung der Grundstücke und baulichen Anlagen;;;738;;550;;
;;;;;;;219;Aus- und Fortbildung;;;1343;;1118;;
;;;;;;;219;Dienstreisen;;;1739;;901;;
;;;;;;;219;Aufträge und Dienstleistungen im Bereich Informationstechnik;;;1702;;1202;;
;;;;;;;219;Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT);;;24038;;19738;;
;;;;;;;219;Vermischte Verwaltungsausgaben;;;280;;92;;
;;;;;;;219;Forschung, Untersuchungen und Ähnliches;;;663;;400;;
;;;;;;;219;Kleine Neu-;;;891;;203;;
;;;;;;;219;Erwerb von Fahrzeugen;;;399;;211;;
;;;;;;;219;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);;;1426;;274;;
;;;;;;;219;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;;;5741;;4241;;
;;;;;;;249;Leistungen für ehemalige sowjetische Kriegsgefangene;;;10000;;0;;
;;;;;;;165;Beitrag bzw Leistungen an die Europäische Weltraumorganisation (ESA) in Paris;;;713550;;626550;;
;;;;;;;253;Leistungen zur Eingliederung in Arbeit;;;3903000;;3903000;;
;;;;;;;282;Beteiligung des Bundes an der Grundsicherung im Alter und bei Erwerbsminderung;;;6053165;;5939165;;
;;;;;;;046;Beiträge an internationale Organisationen;;;116227;;116227;;
;;;;;;;411;"Zuschüsse für Investitionen im Rahmen des Programms ""Kriminalprävention durch Einbruchsicherung""";;;10000;;0;;
;;;;;;;261;Zuschüsse und Leistungen für laufende Zwecke an Länder, Träger und für Aufgaben der freien Jugendhilfe;;;160803;;148803;;
;;;;;;;023;Zahlungen an Einrichtungen der Weltbankgruppe;;;659969;;625664;;
;;;;;;;830;Zinsen für Bundesanleihen;;;19388592;;21486254;;
;;;;;;;830;Zinsen gem § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG);;;8000;;358000;;
;;;;;;;860;Beitrag zur Beschaffung von Verteidigungssystemen für Israel;;;45000;;15000;;
;;;;;;;018;Zuschuss an die Postbeamtenversorgungskasse;;;7481700;;6931700;;
;;;;;;;669;Betriebsmitteldarlehen an die Bundesanstalt für Finanzmarktstabilisierung;;;0;;0;;
;;;;;;;813;"Zuweisung an das Sondervermögen ""Kommunalinvestitionsförderungsfonds""";;;3500000;;0;;
;;;;;;;880;Globale Mehrausgabe zur Verstärkung von Zahlungen in fremden Währungen;;;300000;;0;;
;;;;;;;880;Zukunftsinvestitionen insbesondere für öffentliche Infrastruktur und Energieeffizienz;;;0;;0;;
;;;;;;;880;Verstärkung von Personalausgaben der Hgr 4 für ziviles Überhangpersonal im Geschäftsbereich des Bundesministeriums der Verteidigung;;;650000;;450000;;
;;;;;;;022;Deutscher Beitrag zum Catastrophe Containment and Relief Trust (CCR);;;24710;;0;;
