soll;oberfunktion;oberfunktionstitel;has_excess;excess_vals
115062569;22;Sozialversicherung einschl. Arbeitslosenversicherung;false;0
38002115;03;Verteidigung (nur Bund);false;0
36727669;25;Arbeitsmarktpolitik;false;0
18106660;83;Schulden;false;0
17411029;01;Politische Führung und zentrale Verwaltung;false;0
15095512;02;Auswärtige Angelegenheiten;false;0
13290158;16;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung);false;0
10080603;72;Straßen;false;0
8946249;23;Familienhilfe, Wohlfahrtspflege u.ä. (ohne Leistungen nach dem SGB VIII);false;0
8213728;81;Grund- und Kapitalvermögen, Sondervermögen;false;0
6162374;74;Eisenbahnen und öffentlicher Personennahverkehr;false;0
6012900;28;Soziale Leistungen nach dem SGB XII und dem Asylbewerberleistungsgesetz;false;0
5755934;04;Öffentliche Sicherheit und Ordnung;false;0
5198317;13;Hochschulen;false;0
4867710;06;Finanzverwaltung;false;0
3992769;14;Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.;false;0
2838614;82;Steuern und Finanzzuweisungen;false;0
2579616;41;Wohnungswesen, Wohnungsbauprämie;false;0
2377903;21;Verwaltung für soziale Angelegenheiten;false;0
2082230;24;Soziale Leistungen für Folgen von Krieg und politischen Ereignissen;false;0
1757248;68;Sonstiges im Bereich Gewerbe und Dienstleistungen;false;0
1556827;73;Wasserstraßen und Häfen, Förderung der Schifffahrt;false;0
1491154;63;Bergbau, verarbeitendes Gewerbe und Baugewerbe;false;0
1438693;79;Sonstiges Verkehrswesen;false;0
1209898;52;Landwirtschaft und Ernährung;false;0
1186489;71;Verwaltung des Verkehrs- und Nachrichtenwesens;false;0
1078200;18;Kultur und Religion;false;0
967425;42;Geoinformation, Raumordnung und Landesplanung, Städtebauförderung;false;0
963315;34;Reaktorsicherheit und Strahlenschutz;false;0
943360;33;Umwelt- und Naturschutz;false;0
909624;69;Regionale Fördermaßnahmen;false;0
812607;29;Sonstige soziale Angelegenheiten;false;0
767737;31;Gesundheitswesen;false;0
677186;84;Beihilfen, Unterstützungen u.ä.;false;0
676190;64;Energie- und Wasserversorgung, Entsorgung;false;0
583893;26;Kinder- und Jugendhilfe nach dem SGB VIII (ohne Kindertagesbetreuung);false;0
579665;05;Rechtsschutz;false;0
441372;15;Sonstiges Bildungswesen;false;0
400000;27;Kindertagesbetreuung nach dem SGB VIII;false;0
395060;86;Sonstiges;false;0
379322;75;Luftfahrt;false;0
365842;65;Handel und Tourismus;false;0
335298;77;Nachrichtenwesen;false;0
184307;88;Globalposten;false;0
182082;32;Sport und Erholung;false;0
169741;19;Kultur und Religion;false;0
125000;62;Wasserwirtschaft, Hochwasser- und Küstenschutz;false;0
121842;61;Verwaltung für Energie- und Wasserwirtschaft, Gewerbe und Dienstleistungen;false;0
34320;11;Allgemeinbildende und berufliche Schulen;false;0
34168;66;Geld- und Versicherungswesen;false;0
20662;51;Verwaltung für Ernährung, Landwirtschaft und Forsten (ohne Betriebsverwaltung);false;0
2700;53;Forstwirtschaft und Jagd, Fischerei;false;0
2614;12;Allgemeinbildende und berufliche Schulen;false;0
1500;43;Kommunale Gemeinschaftsdienste (ohne Straßenbeleuchtung, Abwasserentsorgung und Abfallwirtschaft);false;0
0;89;Haushaltstechnische Verrechnungen;false;0
0;85;Rücklagen;false;0
